deviceId,x,y,z,recordTime
1,16,39,979,2024-08-16T07:59:01.713Z
1,17,38,979,2024-08-16T07:59:01.723Z
1,16,38,979,2024-08-16T07:59:01.733Z
1,18,38,979,2024-08-16T07:59:01.743Z
1,16,38,980,2024-08-16T07:59:01.753Z
1,16,39,980,2024-08-16T07:59:01.762Z
1,16,39,980,2024-08-16T07:59:01.772Z
1,17,38,979,2024-08-16T07:59:01.783Z
1,18,38,981,2024-08-16T07:59:01.798Z
1,17,40,981,2024-08-16T07:59:01.806Z
1,18,39,981,2024-08-16T07:59:01.816Z
1,16,39,981,2024-08-16T07:59:01.826Z
1,17,41,981,2024-08-16T07:59:01.836Z
1,16,40,980,2024-08-16T07:59:01.846Z
1,17,40,980,2024-08-16T07:59:01.856Z
1,18,40,978,2024-08-16T07:59:01.866Z
1,17,39,981,2024-08-16T07:59:01.904Z
1,17,39,979,2024-08-16T07:59:01.913Z
1,17,39,981,2024-08-16T07:59:01.922Z
1,16,38,979,2024-08-16T07:59:01.941Z
1,17,38,980,2024-08-16T07:59:01.946Z
1,15,38,981,2024-08-16T07:59:01.956Z
1,16,37,982,2024-08-16T07:59:01.966Z
1,16,39,980,2024-08-16T07:59:01.976Z
1,17,39,979,2024-08-16T07:59:01.986Z
1,16,38,979,2024-08-16T07:59:01.996Z
1,17,40,981,2024-08-16T07:59:02.006Z
1,19,39,976,2024-08-16T07:59:02.016Z
1,16,38,982,2024-08-16T07:59:02.026Z
1,18,39,976,2024-08-16T07:59:02.036Z
1,18,41,980,2024-08-16T07:59:02.046Z
1,18,40,980,2024-08-16T07:59:02.055Z
1,18,40,982,2024-08-16T07:59:02.066Z
1,18,39,977,2024-08-16T07:59:02.076Z
1,17,40,981,2024-08-16T07:59:02.090Z
1,17,40,978,2024-08-16T07:59:02.099Z
1,16,40,981,2024-08-16T07:59:02.109Z
1,16,39,980,2024-08-16T07:59:02.119Z
1,16,39,979,2024-08-16T07:59:02.129Z
1,17,38,978,2024-08-16T07:59:02.139Z
1,15,38,979,2024-08-16T07:59:02.148Z
1,15,38,979,2024-08-16T07:59:02.158Z
1,17,39,979,2024-08-16T07:59:02.168Z
1,17,40,979,2024-08-16T07:59:02.178Z
1,16,40,981,2024-08-16T07:59:02.188Z
